feature,score,max,min,n_null,type
x931,85,,,4951,numeric
x1012,83,,,19,numeric
x1006,83,,,19,numeric
x659,82,,,19,numeric
x443,82,,,13651,numeric
x1002,81,,,19,numeric
x416,81,,,0,category
x837,80,,,19,numeric
x279,80,,,19,numeric
x882,80,,,4951,numeric
x532,79,,,19,numeric
x862,78,,,19,numeric
x1062,77,,,4951,numeric
x586,75,,,19,numeric
x461,75,,,0,numeric
x328,75,,,92,numeric
x414,75,,,19,numeric
x756,74,,,19,numeric
x577,74,,,19,numeric
x881,74,,,4951,numeric
x628,73,,,19,numeric
x708,73,,,19,numeric
x926,72,,,4951,numeric
x249,71,,,19,numeric
x1025,71,,,19,numeric
x839,71,,,19,numeric
x1084,69,,,4951,numeric
x580,69,,,19,numeric
x751,69,,,19,numeric
x845,68,,,19,numeric
x1075,68,,,4951,numeric
x870,67,,,19,numeric
x1046,67,,,24,category
x375,66,,,19,numeric
x980,65,,,19,numeric
x928,65,,,4951,numeric
x1127,65,,,0,category
x251,64,,,19,numeric
x664,64,,,19,numeric
x260,64,,,19,numeric
x841,64,,,19,numeric
x510,63,,,19,numeric
x971,63,,,19,numeric
x1081,62,,,4951,numeric
x808,62,,,19,numeric
x612,61,,,19,numeric
x902,61,,,4951,numeric
x671,58,,,19,numeric
x526,58,,,19,numeric
x467,58,,,0,numeric
x1126,58,,,0,category
x596,57,,,19,numeric
x543,57,,,19,numeric
x807,57,,,19,numeric
x245,56,,,19,numeric
x680,56,,,19,numeric
x1121,56,,,0,category
x425,55,,,19,numeric
x1063,55,,,4951,numeric
x1040,55,,,2850,category
x314,55,,,63,category
x465,53,,,0,numeric
x915,53,,,4951,numeric
x1013,53,,,19,numeric
x402,52,,,19,numeric
x840,52,,,19,numeric
x673,51,,,19,numeric
x893,51,,,4951,numeric
x309,51,,,2870,category
x263,50,,,19,numeric
x1089,50,,,4951,numeric
x1056,50,,,4951,numeric
x1071,49,,,4951,numeric
x324,49,,,19,numeric
x457,48,,,0,numeric
x519,48,,,19,numeric
x745,48,,,19,numeric
x567,48,,,19,numeric
x927,48,,,4951,numeric
x706,47,,,19,numeric
x1036,47,,,585,category
x759,46,,,19,numeric
x998,46,,,19,numeric
x917,46,,,4951,numeric
x779,46,,,44,numeric
x572,45,,,19,numeric
x331,45,,,19,numeric
x662,44,,,19,numeric
x1033,44,,,13355,category
x848,43,,,19,numeric
x608,43,,,19,numeric
x452,43,,,13778,category
x694,42,,,19,numeric
x420,42,,,19,numeric
x627,41,,,19,numeric
x376,41,,,19,numeric
x332,41,,,19,numeric
x932,41,,,4951,numeric
x891,41,,,4951,numeric
x313,40,,,95,category
x1085,39,,,4951,numeric
x622,39,,,19,numeric
x816,39,,,19,numeric
x1035,39,,,3642,category
x315,39,,,94,category
x426,39,,,19,category
x975,38,,,19,numeric
x871,38,,,19,numeric
x1128,38,,,0,category
x1037,38,,,24,category
x1027,37,,,19,numeric
x670,37,,,19,numeric
x258,36,,,19,numeric
x1094,36,,,4951,numeric
x632,36,,,19,numeric
x1000,36,,,19,numeric
x600,36,,,19,numeric
x639,36,,,19,numeric
x898,36,,,4951,numeric
x1034,36,,,13342,category
x1031,36,,,13298,category
x758,35,,,19,numeric
x691,35,,,19,numeric
x453,35,,,13778,category
x597,34,,,19,numeric
x537,34,,,19,numeric
x1058,34,,,4951,numeric
x969,34,,,19,numeric
x319,34,,,53,category
x711,33,,,19,numeric
x1101,32,,,4951,numeric
x1069,32,,,4951,numeric
x1124,31,,,0,category
x598,30,,,19,numeric
x492,30,,,19,numeric
x672,30,,,19,numeric
x989,30,,,19,numeric
x714,29,,,19,numeric
x1098,29,,,4951,numeric
x668,29,,,19,numeric
x445,29,,,13651,numeric
x302,29,,,25,category
x618,28,,,19,numeric
x1092,27,,,4951,numeric
x1091,27,,,4951,numeric
x1086,27,,,4951,numeric
x1014,27,,,19,numeric
x449,27,,,14051,category
x1082,26,,,4951,numeric
x1070,26,,,4951,numeric
x712,26,,,19,numeric
x719,26,,,19,numeric
x1061,26,,,4951,numeric
x1054,25,,,4951,numeric
x801,25,,,19,numeric
x599,25,,,19,numeric
x539,24,,,19,numeric
x817,24,,,19,numeric
x419,24,,,19,numeric
x701,24,,,19,numeric
x446,24,,,13651,numeric
x1044,24,,,13298,category
x1076,23,,,4951,numeric
x571,23,,,19,numeric
x900,23,,,4951,numeric
x439,23,,,13998,category
x884,23,,,4951,category
x883,23,,,4951,category
x1097,22,,,4951,numeric
x740,22,,,19,numeric
x275,22,,,19,numeric
x247,22,,,19,numeric
x540,22,,,83,numeric
x1039,22,,,13297,category
x1088,21,,,4951,numeric
x1043,21,,,453,category
x1032,21,,,34,category
x1099,20,,,4951,numeric
x724,20,,,19,numeric
x262,20,,,19,numeric
x784,20,,,19,numeric
x1030,20,,,19,numeric
x1047,20,,,576,category
x896,19,,,4951,numeric
x455,19,,,13778,category
x264,18,,,19,numeric
x919,18,,,4951,numeric
x739,17,,,19,numeric
x518,17,,,19,numeric
x1080,17,,,4951,numeric
x281,17,,,19,numeric
x754,17,,,19,numeric
x1096,16,,,4951,numeric
x755,16,,,19,numeric
x834,16,,,19,numeric
x502,15,,,19,numeric
x1041,15,,,3647,category
x1045,15,,,34,category
x280,14,,,19,numeric
x1079,14,,,4951,numeric
x456,14,,,13778,numeric
x1065,14,,,4951,numeric
x1050,14,,,13298,category
x901,13,,,4951,numeric
x508,12,,,19,numeric
x854,12,,,19,numeric
x1093,12,,,4951,numeric
x536,12,,,19,numeric
x936,12,,,4951,numeric
x811,12,,,83,numeric
x437,12,,,13998,numeric
x438,12,,,13998,category
x278,11,,,19,numeric
x925,11,,,4951,numeric
x301,11,,,14517,category
x1042,11,,,443,category
x505,10,,,83,numeric
x718,10,,,19,numeric
x970,10,,,19,numeric
x1051,10,,,13297,category
x261,9,,,19,numeric
x965,9,,,19,numeric
x886,9,,,4951,category
x312,9,,,63,category
x447,9,,,14051,category
x276,8,,,19,numeric
x903,8,,,4951,numeric
x311,8,,,3663,category
x310,8,,,3657,category
x317,8,,,85,category
x1100,7,,,4951,numeric
x907,7,,,4951,numeric
x1132,7,,,0,category
x300,7,,,8534,category
x833,6,,,19,numeric
x1095,6,,,4951,numeric
x291,6,,,19,numeric
x872,6,,,19,numeric
x916,6,,,4951,numeric
x906,6,,,4951,numeric
x702,5,,,19,numeric
x441,5,,,13998,numeric
